station,latitude,longitude
Астана,51.167694018148694,71.4507705827999
"СФМ ""Боровое”",53.08736425387044,70.31504352983376
Ильинский,49.168368248701114,58.226428298676986
Карабутак,49.96105918308706,60.10898182003643
Караулкельды,48.69047712710245,55.884306730929836
Алаколь,46.35043188911929,81.29398105845638
Жаланашколь,45.592470749410886,82.18105138806705
Жаркент,44.166985323396624,80.00044569080431
Текели,44.86017750013749,78.76321906742477
Узунагач,43.22732985981027,76.30034414001315
Учарал,46.172134334967105,80.94732302250061
Индерборский,48.55720732152824,51.75205618301225
Каражал,48.00825893967152,70.7908116895062
Каркаралы,49.41305476438257,75.47608802208192
Кертинды,49.95725964419746,71.58284092572603
Киевка,50.260503302221046,71.54859195917625
Улытау,48.655235506867996,67.00259973205677
Аршалинский З/СВХ,52.71908507868311,61.14364763369025
Рудный,52.97281275998656,63.11421875684865
Торгай,49.633447732380965,63.49051503911955
Ертис,53.33850752440356,75.44831402667653
Красноармейка,52.356422489974115,77.27400040795526
Лозовая,53.29619182034958,77.77242095666067
Kокпекты,48.75376634386964,82.38337095262796
Акжар,47.575539077235156,83.69062936744373
Жалгызтобе,47.369218103412315,84.00590692005814
Зайсан,47.47058718891991,84.87509764290279
Ащысай,43.556120233591706,68.89676564876918
Шымкент,42.32188194264865,69.58885464824581
Чапаево,50.177427711906546,51.168484315420905