"stn","region"
"Акколь","KZ-AKM"
"Аршалы","KZ-AKM"
"Астана","KZ-AKM"
"Атбасар","KZ-AKM"
"Балкашино","KZ-AKM"
"Бурабай","KZ-AKM"
"Егиндыколь","KZ-AKM"
"Ерейментау","KZ-AKM"
"Есиль","KZ-AKM"
"Жаксы","KZ-AKM"
"Жалтыр","KZ-AKM"
"Кокшетау","KZ-AKM"
"Коргалжын","KZ-AKM"
"СФМ ""Боровое""","KZ-AKM"
"Тасты-Талды","KZ-AKM"
"Щучинск","KZ-AKM"
"Актобе","KZ-AKT"
"Аяккум","KZ-AKT"
"Ильинский","KZ-AKT"
"Иргиз","KZ-AKT"
"Карабутак","KZ-AKT"
"Караулкельды","KZ-AKT"
"Комсомольское","KZ-AKT"
"Кос-Истек","KZ-AKT"
"Мартук","KZ-AKT"
"Мугоджарская","KZ-AKT"
"Новоалексеевка","KZ-AKT"
"Нура","KZ-AKT"
"Родниковка","KZ-AKT"
"Темир","KZ-AKT"
"Уил","KZ-AKT"
"Шалкар","KZ-AKT"
"Эмба","KZ-AKT"
"Aлматы","KZ-ALM"
"Kеген","KZ-ALM"
"Айдарлы","KZ-ALM"
"Аксенгир","KZ-ALM"
"Алаколь","KZ-ALM"
"Алматы (Камен.плато)","KZ-ALM"
"Ассы","KZ-ALM"
"Аул №4","KZ-ALM"
"Баканас","KZ-ALM"
"Большое Алматинское озеро","KZ-ALM"
"Есик","KZ-ALM"
"Жаланаш","KZ-ALM"
"Жаланашколь","KZ-ALM"
"Жаркент","KZ-ALM"
"Капшагай","KZ-ALM"
"Карашокы","KZ-ALM"
"Когалы","KZ-ALM"
"Куйган","KZ-ALM"
"Кыргызсай","KZ-ALM"
"Лепси","KZ-ALM"
"Матай","KZ-ALM"
"Мынжилки","KZ-ALM"
"Нарынкол","KZ-ALM"
"Сарканд","KZ-ALM"
"Сарыозек","KZ-ALM"
"Талдыкорган","KZ-ALM"
"Текели","KZ-ALM"
"Узунагач","KZ-ALM"
"Учарал","KZ-ALM"
"Уштобе","KZ-ALM"
"Шелек","KZ-ALM"
"Шымбулак","KZ-ALM"
"Атырау","KZ-ATY"
"Ганюшкино","KZ-ATY"
"Индерборский","KZ-ATY"
"Карабау","KZ-ATY"
"Кульсары","KZ-ATY"
"Махамбет","KZ-ATY"
"Новый Уштоган","KZ-ATY"
"Пешной","KZ-ATY"
"Сагиз","KZ-ATY"
"Акадыр","KZ-KAR"
"Аксу-Аюлы","KZ-KAR"
"Актогай","KZ-KAR"
"Балкаш","KZ-KAR"
"Баршино","KZ-KAR"
"Бектауата","KZ-KAR"
"Бес-оба","KZ-KAR"
"Жана-Арка","KZ-KAR"
"Жарык","KZ-KAR"
"Жезказган","KZ-KAR"
"Жетыконур","KZ-KAR"
"Караганда","KZ-KAR"
"Каражал","KZ-KAR"
"Каркаралы","KZ-KAR"
"Кертинды","KZ-KAR"
"Кзылжар","KZ-KAR"
"Кзылтау","KZ-KAR"
"Киевка","KZ-KAR"
"Корнеевка","KZ-KAR"
"Осакаровка","KZ-KAR"
"Родниковcкое","KZ-KAR"
"Сарышаган","KZ-KAR"
"Саяк","KZ-KAR"
"Улытау","KZ-KAR"
"Амангельды","KZ-KUS"
"Аркалык","KZ-KUS"
"Аршалинский З/СВХ","KZ-KUS"
"Диевская","KZ-KUS"
"Екидин","KZ-KUS"
"Железнодорожный СВХ.","KZ-KUS"
"Житикара","KZ-KUS"
"Карабалык","KZ-KUS"
"Караменды","KZ-KUS"
"Карасу","KZ-KUS"
"Костанай","KZ-KUS"
"Кушмурун","KZ-KUS"
"Михайловка","KZ-KUS"
"Пресногорьковка","KZ-KUS"
"Рудный","KZ-KUS"
"Сарыколь","KZ-KUS"
"Тобол","KZ-KUS"
"Торгай","KZ-KUS"
"Арал тенизи","KZ-KZY"
"Жосалы","KZ-KZY"
"Злиха","KZ-KZY"
"Казалы","KZ-KZY"
"Карак","KZ-KZY"
"Каукей","KZ-KZY"
"Куланды","KZ-KZY"
"Кызылорда","KZ-KZY"
"Шиели","KZ-KZY"
"Актау","KZ-MAN"
"Бейнеу","KZ-MAN"
"Кулалы, о-в","KZ-MAN"
"Кызан","KZ-MAN"
"Сам","KZ-MAN"
"Тущибек","KZ-MAN"
"Форт-Шевченко","KZ-MAN"
"Актогай","KZ-PAV"
"Баянауыл","KZ-PAV"
"Голубовка","KZ-PAV"
"Екибастуз","KZ-PAV"
"Ертис","KZ-PAV"
"Жолболды","KZ-PAV"
"Коктобе","KZ-PAV"
"Красноармейка","KZ-PAV"
"Лозовая","KZ-PAV"
"Михайловка","KZ-PAV"
"Павлодар","KZ-PAV"
"Успенка","KZ-PAV"
"Федоровка","KZ-PAV"
"Шалдай","KZ-PAV"
"Шарбакты","KZ-PAV"
"Благовещенка","KZ-SEV"
"Возвышенка","KZ-SEV"
"Кишкенеколь","KZ-SEV"
"Петропавловск","KZ-SEV"
"Рузаевка","KZ-SEV"
"Саумалколь","KZ-SEV"
"Сергеевка","KZ-SEV"
"Тайынша","KZ-SEV"
"Тимирязево","KZ-SEV"
"Чкалово","KZ-SEV"
"Явленка","KZ-SEV"
"Kокпекты","KZ-VOS"
"Акжар","KZ-VOS"
"Аксуат","KZ-VOS"
"Актогай","KZ-VOS"
"Аягоз","KZ-VOS"
"Бакты","KZ-VOS"
"Баршатас","KZ-VOS"
"Боран","KZ-VOS"
"Дмитриевка","KZ-VOS"
"Жалгызтобе","KZ-VOS"
"Зайсан","KZ-VOS"
"Заповедник Маркаколь","KZ-VOS"
"Зыряновск","KZ-VOS"
"Кайнар","KZ-VOS"
"Карауыл","KZ-VOS"
"Катон-Карагай","KZ-VOS"
"Куршим","KZ-VOS"
"Лениногорск","KZ-VOS"
"Самарка","KZ-VOS"
"Селезневка","KZ-VOS"
"Семипалатинск","KZ-VOS"
"Семиярка","KZ-VOS"
"Теректы","KZ-VOS"
"Тугыл","KZ-VOS"
"Улькен Нарын","KZ-VOS"
"Уржар","KZ-VOS"
"Усть-Каменогорск","KZ-VOS"
"Шалабай","KZ-VOS"
"Шар","KZ-VOS"
"Шемонаиха","KZ-VOS"
"Арыс","KZ-YUZ"
"Аул Турара Рыскулова","KZ-YUZ"
"Ащысай","KZ-YUZ"
"Жетысай","KZ-YUZ"
"им.Кожахметова","KZ-YUZ"
"Казыгурт","KZ-YUZ"
"Кызылкум","KZ-YUZ"
"Тасарык","KZ-YUZ"
"Тасты","KZ-YUZ"
"Туркестан","KZ-YUZ"
"Шардара","KZ-YUZ"
"Шолаккорган","KZ-YUZ"
"Шуылдак","KZ-YUZ"
"Шымкент","KZ-YUZ"
"Аксай","KZ-ZAP"
"Джамбейты","KZ-ZAP"
"Джангала","KZ-ZAP"
"Джаныбек","KZ-ZAP"
"Жалпактал","KZ-ZAP"
"Каменка","KZ-ZAP"
"Каратюба","KZ-ZAP"
"Тайпак","KZ-ZAP"
"Уральск","KZ-ZAP"
"Урда","KZ-ZAP"
"Чапаево","KZ-ZAP"
"Чингирлау","KZ-ZAP"
"Январцево","KZ-ZAP"
"Жанатас","KZ-ZHA"
"Каратау","KZ-ZHA"
"Кордай","KZ-ZHA"
"Кулан","KZ-ZHA"
"Мерке","KZ-ZHA"
"Мойынкум","KZ-ZHA"
"Саудакент","KZ-ZHA"
"Тараз","KZ-ZHA"
"Толе би","KZ-ZHA"
"Уюк","KZ-ZHA"
"Хантау","KZ-ZHA"
"Чиганак","KZ-ZHA"
"Шокпар","KZ-ZHA"